交易日期,交易时间,收入,支出,余额,交易类型,交易备注
20200905,19:20:42,754.35,,802.31,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200904,13:09:59,,42.25,47.96,U1PY,	财付通 - 微信支付 - 微信 AA 收款
20200904,10:19:36,,5000.00,90.21,	转账汇款,	转账   陶建
20200904,10:18:51,5000.00,,5090.21,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200904,09:48:09,,600.00,90.21,	转账汇款,	转账   陶建
20200904,09:34:24,,54811.00,690.21,	客户转账,	转账   陶建
20200904,09:33:14,8015.45,,55501.21,	行内汇入,	转账   陶建
20200904,09:32:13,,415.56,47485.76,	黄金账户定投,	黄金定投
20200904,09:02:10,194.00,,47901.32,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200903,20:00:16,308.49,,47707.32,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200903,19:55:51,,33.00,47398.83,U1PY,	财付通 - 微信支付 - 春夏一面
20200903,17:50:10,7323.51,,47431.83,	朝朝盈转出活期,	朝朝盈
20200903,17:49:02,40000.00,,40108.32,	基金赎回,4972
20200903,11:52:47,,2.12,108.32,N5CP,	财付通 - 稻香世家
20200903,11:01:38,,500.00,110.44,	银联在线支付,	（特约）天天基金销售基金有限公司
20200903,10:24:10,,2000.00,610.44,	转账汇款,	转账   陶建
20200903,09:32:12,,417.58,2610.44,	黄金账户定投,	黄金定投
20200902,21:24:51,89.98,,3028.02,	银联代付,	支付宝（中国）网络技术有限公司
20200902,20:56:57,,23.00,2938.04,U1PY,	财付通 - 微信支付 - 微信面对面收款
20200902,20:47:51,,6.50,2961.04,U1PY,	财付通 - 微信支付 - 广州骑安
20200902,20:36:33,442.44,,2967.54,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200902,18:11:35,,33.00,2525.10,N5CP,	财付通 - 春夏一面
20200902,13:01:40,36.49,,2558.10,	银联代付,	支付宝（中国）网络技术有限公司
20200902,12:19:47,,40.50,2521.61,N5CP,	财付通 - 上海昕初餐饮管理有限
20200902,10:29:32,,500.00,2562.11,	银联在线支付,	（特约）天天基金销售基金有限公司
20200902,10:29:30,,500.00,3062.11,	银联在线支付,	（特约）天天基金销售基金有限公司
20200902,09:32:19,,421.91,3562.11,	黄金账户定投,	黄金定投
20200902,08:11:01,,25.00,3984.02,N5CP,	支付宝 - 深圳市迅雷网络技术有限公司
20200902,06:58:42,,207.04,4009.02,N5CP,	京东支付 - 京东金融
20200902,06:56:30,9.50,,4216.06,	银联代付,	支付宝（中国）网络技术有限公司
20200901,22:52:10,36.49,,4206.56,	银联代付,	支付宝（中国）网络技术有限公司
20200901,20:50:06,,15.00,4170.07,N5CP,	财付通 - 微信转账
20200901,20:23:30,484.49,,4185.07,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200901,18:06:35,,30.00,3700.58,N5CP,	财付通 - 叁拾玖味
20200901,13:30:56,,6.50,3730.58,U1PY,	财付通 - 微信支付 - 上海喜士多便利连锁有
20200901,12:47:29,,58.00,3737.08,N5CP,	财付通 - 微信红包
20200901,12:21:40,297.19,,3795.08,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200901,12:09:21,,270.00,3497.89,N5CP,	财付通 - 微信转账
20200901,10:42:02,,8000.00,3767.89,	转账汇款,	转账   陶建
20200901,10:36:08,,500.00,11767.89,	银联在线支付,	（特约）天天基金销售基金有限公司
20200901,10:36:05,,500.00,12267.89,	银联在线支付,	（特约）天天基金销售基金有限公司
20200901,10:36:03,,500.00,12767.89,	银联在线支付,	（特约）天天基金销售基金有限公司
20200901,09:47:52,,7.50,13267.89,N5CP,财付通 -7-11 上海
20200901,09:33:37,,423.02,13275.39,	黄金账户定投,	黄金定投
20200901,08:48:23,716.00,,13698.41,N5PR,	支付宝 - 支付宝（中国）网络技术有限公司 -
20200901,08:21:41,10000.00,,12982.41,	朝朝盈转出活期,	朝朝盈
20200831,21:49:27,,15720.00,2982.41,N5CP,	财付通 - 紫梧桐（北京）资产管
20200831,21:49:06,8000.00,,18702.41,	行内汇入,	转账   陶建
20200831,21:29:14,,300.00,10702.41,N5CP,	财付通 - 紫梧桐（北京）资产管
20200831,20:28:10,,10.00,11002.41,U1PY,	财付通 - 微信支付 - 广州骑安
20200831,20:15:18,10000.00,,11012.41,	朝朝盈转出活期,	朝朝盈
20200831,12:27:27,,49.00,1012.41,N5CP,	财付通 - 华为商城
20200831,10:47:38,,500.00,1061.41,	银联在线支付,	（特约）天天基金销售基金有限公司
